         3032499 function calls (3027683 primitive calls) in 2.600 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      9/8    0.000    0.000    0.000    0.000 /usr/local/lib/python3.13/re/_compiler.py:439(_get_literal_prefix)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.13/functools.py:826(singledispatch)
       33    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
       40    0.000    0.000    0.000    0.000 {built-in method sys.intern}
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:671(_check_name_wrapper)
       66    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
        4    0.000    0.000    0.000    0.000 <frozen zipimport>:68(__init__)
       81    0.000    0.000    0.000    0.000 /usr/local/lib/python3.13/re/_parser.py:112(__init__)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.13/ipaddress.py:671(_BaseNetwork)
      112    0.000    0.000    0.000    0.000 /usr/local/lib/python3.13/ipaddress.py:574(__int__)
       33    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
       10    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1315(create_module)
       20    0.000    0.000    0.000    0.000 /usr/local/lib/python3.13/re/_parser.py:371(_escape)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:651(_calc_mode)
       28    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:190(_path_abspath)
       45    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
       30    0.000    0.000    0.000    0.000 /app/.venv/lib/python3.13/site-packages/_virtualenv.py:50(find_spec)
       10    0.000    0.000    0.000    0.000 /usr/local/lib/python3.13/re/_parser.py:311(_class_escape)
       47    0.000    0.000    0.000    0.000 {method 'issuperset' of 'frozenset' objects}
      6/4    0.000    0.000    0.082    0.020 {built-in method builtins.__import__}
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:169(_path_isdir)
       15    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
       64    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
        7    0.000    0.000    0.000    0.000 /usr/local/lib/python3.13/inspect.py:2842(replace)
        2    0.000    0.000    0.000    0.000 /usr/local/lib/python3.13/functools.py:189(total_ordering)
       39    0.000    0.000    0.000    0.000 {method 'to_bytes' of 'int' objects}
      8/3    0.000    0.000    0.082    0.027 <frozen importlib._bootstrap>:1398(_handle_fromlist)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.13/urllib/parse.py:152(_NetlocResultMixinBase)
       30    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:982(find_spec)
